grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
80,22.7,11.5,50,301.73,1.17,n,1
160,20.1,12.2,50,303.86,1.44,n,1
134,22.4,10.4,50,301.26,0.3,n,1
160,20.1,12.2,50,304.64,1.61,n,1
157,22.4,10.4,50,303.04,1.23,n,1
98,22.7,11.5,50,297.89,0.69,n,1
98,21.7,11.5,50,300.84,0.52,n,1
98,21.7,11.5,50,301.46,0.27,n,1
144,22.3,9.4,50,301.28,0.93,n,1
98,21.7,11.5,50,300.81,0.53,n,1
80,21.7,11.5,50,305.35,0.61,n,1
44,21.7,11.5,50,309.71,0.78,n,1
114,27.8,24.5,50,305.45,0.6,n,1
114,27.8,24.5,50,301.39,0.39,n,1
118,27.4,15.0,50,353.6,5.78,n,1
118,27.4,15.0,50,340.47,4.68,l,1
98,22.0,10.4,50,313.83,0.89,n,1
98,22.0,10.4,50,299.74,0.46,n,1
44,22.0,10.4,50,317.73,1.52,n,1
80,22.0,10.4,50,310.75,1.02,n,1
53,22.0,10.4,50,299.67,0.5,n,1
114,28.4,21.6,50,311.16,1.42,n,1
98,24.7,9.4,50,308.58,0.49,n,1
98,24.7,9.4,50,317.46,1.5,n,1
114,24.7,9.4,50,317.17,1.64,n,1
107,16.5,9.4,50,301.64,0.29,n,1
53,24.7,9.4,50,307.55,0.5,n,1
80,24.7,9.4,50,319.24,1.1,n,1
36,29.8,21.2,50,305.67,0.74,n,1
44,24.7,9.4,50,310.1,1.42,n,1
14,27.2,6.5,50,299.71,0.24,n,1
134,20.7,8.3,50,305.14,0.7,n,1
8,24.7,7.2,50,307.67,0.38,n,1
144,20.7,8.3,50,311.77,1.27,n,1
125,27.6,7.7,50,345.59,7.98,l,1
80,23.3,11.5,50,311.58,1.29,n,1
98,23.3,11.5,50,321.28,1.24,n,1
98,23.3,11.5,50,309.38,0.75,n,1
53,23.3,11.5,50,304.72,0.51,n,1
44,23.3,11.5,50,302.63,0.73,n,1
36,29.2,18.0,50,303.94,0.59,n,1
14,26.1,5.4,50,302.86,0.34,n,1
8,19.2,6.1,50,304.25,0.75,n,1
114,29.2,18.0,50,313.23,1.38,n,1
117,23.0,9.7,50,299.83,0.34,n,1
12,23.0,9.7,50,312.2,1.12,n,1
44,23.0,9.7,50,314.15,1.5,n,1
53,23.0,9.7,50,300.31,0.44,n,1
80,23.0,9.7,50,300.84,0.61,n,1
98,23.0,9.7,50,308.36,1.05,n,1
98,23.0,9.7,50,306.55,0.28,n,1
114,23.0,9.7,50,308.61,1.05,n,1
114,32.0,13.7,50,301.64,0.73,n,1
44,24.9,10.1,50,307.09,0.53,n,1
98,24.9,10.1,50,302.98,0.9,n,1
98,24.9,10.1,50,301.11,0.46,n,1
144,22.1,9.7,50,302.87,0.74,n,1
114,24.9,10.1,50,303.55,0.5,n,1
114,32.0,13.7,50,304.21,0.63,n,1
44,24.9,10.1,50,304.27,0.83,n,1
82,24.9,10.1,50,352.46,15.73,n,1
82,24.9,10.1,50,367.0,15.73,h,1
98,23.7,10.4,50,307.47,1.24,n,1
114,23.7,10.4,50,302.1,1.1,n,1
44,23.7,10.4,50,304.63,0.64,n,1
80,23.7,10.4,50,306.68,1.16,n,1
53,25.7,11.5,50,303.13,0.41,n,1
134,22.2,9.7,50,310.55,1.24,n,1
172,19.1,10.1,50,302.49,0.72,n,1
8,26.5,6.1,50,305.75,0.43,n,1
107,18.6,8.3,50,300.78,0.45,n,1
98,25.7,11.5,50,313.15,1.55,n,1
98,25.7,11.5,50,303.94,0.39,n,1
114,35.9,15.5,50,313.21,0.99,n,1
44,25.7,11.5,50,320.71,1.8,n,1
80,25.7,11.5,50,314.96,1.32,n,1
98,24.3,11.2,50,316.05,1.97,n,1
98,24.3,11.2,50,318.57,2.66,n,1
114,35.0,13.0,50,309.83,1.0,n,1
53,24.3,11.2,50,308.65,0.3,n,1
80,24.3,11.2,50,318.11,1.04,n,1
44,24.3,11.2,50,316.56,1.03,n,1
8,22.7,4.7,50,305.47,0.57,n,1
144,21.9,10.8,50,302.03,0.39,n,1
134,21.9,10.8,50,314.67,0.99,n,1
98,24.2,10.8,50,311.33,1.1,n,1
98,24.2,10.8,50,304.57,1.34,n,1
98,24.2,10.8,50,304.0,0.75,n,1
98,24.2,10.8,50,303.41,0.36,n,1
80,24.2,10.8,50,303.51,0.73,n,1
53,24.2,10.8,50,306.47,0.49,n,1
44,24.2,10.8,50,312.36,1.48,n,1
134,22.0,9.7,50,307.29,0.29,n,1
134,22.0,9.7,50,306.36,1.17,n,1
77,25.7,11.4,50,367.0,209.64,h,1
77,25.7,11.4,50,367.0,209.64,h,1
78,25.4,9.4,50,324.53,2.8,n,1
144,21.7,8.3,50,306.9,0.69,n,1
80,23.5,11.2,50,308.25,0.64,n,1
80,23.5,11.2,50,300.25,0.46,n,1
78,25.4,9.4,50,352.19,16.8,n,1
78,25.4,9.4,50,355.78,16.8,n,1
77,25.4,9.4,50,367.0,10.29,h,1
77,25.4,9.4,50,347.14,10.29,n,1
77,25.4,9.4,50,367.0,6.3,h,1
78,25.4,9.4,50,367.0,16.8,h,1
78,25.4,9.4,50,367.0,16.8,h,1
77,25.4,9.4,50,339.17,10.29,n,1
77,25.4,9.4,50,329.68,10.29,n,1
77,25.4,9.4,50,332.33,6.3,n,1
77,25.4,9.4,50,333.7,6.3,n,1
78,25.4,9.4,50,316.78,2.65,n,1
77,25.4,9.4,50,315.61,1.97,n,1
77,25.4,9.4,50,313.69,1.97,n,1
77,25.4,9.4,50,315.04,2.26,n,1
78,25.4,9.4,50,321.49,2.54,n,1
78,25.4,9.4,50,341.95,2.54,n,1
78,25.4,9.4,50,335.41,2.8,n,1
78,25.4,9.4,50,311.77,3.71,n,1
78,25.4,9.4,50,315.16,2.65,n,1
78,25.4,9.4,50,318.04,2.54,n,1
78,25.4,9.4,50,312.25,2.54,n,1
78,25.4,9.4,50,317.28,2.8,n,1
78,25.4,9.4,50,350.1,2.65,n,1
114,35.0,17.6,50,306.69,0.75,n,1
77,25.4,9.4,50,313.21,3.19,n,1
77,25.4,9.4,50,315.45,3.19,n,1
78,25.4,9.4,50,307.05,5.0,n,1
78,25.4,9.4,50,304.22,1.93,n,1
78,25.4,9.4,50,305.91,2.59,n,1
78,25.4,9.4,50,304.8,1.41,n,1
78,25.4,9.4,50,321.07,3.19,n,1
77,25.4,9.4,50,313.91,3.19,n,1
78,25.4,9.4,50,308.34,4.04,n,1
77,25.4,9.4,50,317.28,4.97,n,1
77,25.4,9.4,50,313.14,4.97,n,1
78,25.4,9.4,50,325.79,4.04,n,1
78,25.4,9.4,50,307.49,1.93,n,1
77,25.4,9.4,50,314.66,4.04,n,1
78,25.4,9.4,50,355.14,10.9,n,1
78,25.4,9.4,50,356.33,10.9,n,1
77,25.4,9.4,50,367.0,80.81,h,1
77,25.4,9.4,50,343.84,11.79,n,1
78,25.4,9.4,50,342.22,12.27,n,1
78,25.4,9.4,50,354.96,12.27,n,1
77,25.4,9.4,50,355.13,29.81,n,1
78,25.4,9.4,50,353.64,29.81,n,1
77,25.4,9.4,50,337.3,33.6,n,1
77,25.4,9.4,50,341.51,80.81,n,1
77,25.4,9.4,50,367.0,80.81,h,1
77,25.4,9.4,50,346.51,33.6,n,1
78,25.4,9.4,50,342.04,10.9,l,1
78,26.5,8.3,50,344.18,11.71,n,1
78,26.5,8.3,50,350.21,10.59,n,1
77,26.5,8.3,50,313.09,11.71,n,1
77,26.5,8.3,50,322.54,10.15,n,1
77,26.5,8.3,50,355.71,10.15,n,1
77,26.5,8.3,50,339.83,7.31,n,1
77,26.5,8.3,50,313.07,5.27,n,1
78,26.5,8.3,50,308.58,1.87,n,1
78,26.5,8.3,50,310.23,2.21,n,1
77,26.5,8.3,50,308.93,2.28,n,1
77,26.5,8.3,50,316.04,2.28,n,1
77,26.5,8.3,50,345.4,16.88,n,1
77,26.5,8.3,50,346.38,11.43,n,1
77,26.5,8.3,50,321.08,11.43,n,1
78,26.5,8.3,50,345.96,10.59,n,1
78,26.5,8.3,50,367.0,16.88,h,1
78,26.5,8.3,50,310.83,8.99,n,1
78,26.5,8.3,50,334.47,10.59,n,1
77,26.5,8.3,50,337.13,22.52,n,1
77,26.5,8.3,50,355.98,11.43,n,1
77,26.5,8.3,50,321.37,11.43,n,1
98,24.4,10.8,50,303.66,0.7,n,1
77,26.5,8.3,50,317.42,2.38,n,1
77,26.5,8.3,50,325.7,3.74,n,1
77,26.5,8.3,50,340.54,3.74,n,1
78,26.5,8.3,50,317.02,1.39,n,1
78,26.5,8.3,50,313.12,1.31,n,1
78,26.5,8.3,50,320.33,1.31,n,1
77,26.5,8.3,50,320.51,2.08,n,1
77,26.5,8.3,50,312.9,2.38,n,1
78,26.5,8.3,50,311.78,1.39,n,1
78,26.5,8.3,50,310.54,1.39,n,1
77,26.5,8.3,50,320.95,3.09,n,1
77,26.5,8.3,50,336.19,3.09,n,1
77,26.5,8.3,50,333.8,4.75,n,1
77,26.5,8.3,50,353.48,4.75,n,1
77,26.5,8.3,50,325.37,6.22,n,1
78,26.5,8.3,50,355.48,12.68,n,1
78,26.5,8.3,50,310.84,6.22,n,1
77,26.5,8.3,50,341.84,6.22,n,1
77,26.5,8.3,50,350.87,6.22,n,1
