발생일시,진화일시,주소,진행상태,대응단계,위도,경도,acq_date,평균기온 (temp),평균풍속 (wspd),풍향각도 (wdir),강수량 (precip),습도 (rh),brightness,frp,confidence
2025-03-20 12:17,2025-03-20 13:43,경기도 화성시 매송면,진화완료,초기대응,37.2523370989409,126.909117423432,2025-03-20,6.5,13.3,171.0,0.0,63,,,
2025-03-19 16:00,2025-03-19 17:21,충청남도 태안군 안면읍,진화완료,초기대응,36.5205361060368,126.344511519837,2025-03-19,,,,0.0,56,,,
2025-03-18 11:27,2025-03-18 12:02,울산광역시 울주군 온양읍,진화완료,초기대응,35.4194264388709,129.280459268566,2025-03-18,2.8,10.2,290.0,0.0,61,,,
2025-03-17 17:29,2025-03-17 17:53,전라남도 화순군 백아면,진화완료,초기대응,35.1680831807807,127.132292541318,2025-03-17,4.2,9.3,348.0,0.0,41,,,
2025-03-17 16:50,2025-03-17 18:00,전라남도 장성군 장성읍,진화완료,초기대응,35.3032030896945,126.785267156907,2025-03-17,4.2,9.3,348.0,0.0,40,,,
2025-03-17 15:47,2025-03-17 16:17,경기도 양평군 개군면,진화완료,초기대응,37.4259639502401,127.536793361892,2025-03-17,2.9,11.9,308.0,0.0,39,,,
2025-03-17 14:23,2025-03-17 15:36,충청남도 태안군 이원면,진화완료,초기대응,36.8695977168568,126.280898994399,2025-03-17,,,,0.5,50,,,
2025-03-17 13:45,2025-03-17 14:04,충청남도 예산군 덕산면,진화완료,초기대응,36.7014538932901,126.6654782385,2025-03-17,3.6,13.7,287.0,0.3,45,,,
2025-03-16 23:03,2025-03-17 01:00,경상남도 산청군 삼장면,진화완료,초기대응,35.2982299322661,127.831735620344,2025-03-16,,,,0.0,61,,,
2025-03-16 19:20,2025-03-16 19:57,충청남도 공주시 우성면,진화완료,초기대응,36.4709499920014,127.049709589199,2025-03-16,5.0,9.8,320.0,0.3,58,,,
2025-03-15 22:29,2025-03-16 01:05,인천광역시 옹진군 백령면,진화완료,초기대응,37.9743612082617,124.718710475438,2025-03-15,,,,1.8,46,,,
2025-03-15 18:40,2025-03-15 20:08,강원특별자치도 횡성군 청일면,진화완료,초기대응,37.5837464013969,128.150414957403,2025-03-15,11.1,6.9,134.0,2.3,55,,,
2025-03-15 13:10,2025-03-15 13:50,경기도 연천군 미산면,진화완료,초기대응,38.0474064992174,126.992818073354,2025-03-15,,,,0.0,38,,,
2025-03-15 11:58,2025-03-15 12:58,경기도 포천시 내촌면,진화완료,초기대응,37.7862179992257,127.228615198246,2025-03-15,11.6,10.7,85.0,3.5,55,,,
2025-03-15 09:42,2025-03-15 10:14,경기도 용인시 처인구,진화완료,초기대응,37.2343060386837,127.201357139725,2025-03-15,11.9,14.1,144.0,6.0,46,,,
2025-03-15 09:41,2025-03-15 10:50,경기도 이천시 장호원읍,진화완료,초기대응,37.1149316480875,127.61683662488,2025-03-15,,,,2.8,48,,,
2025-03-14 19:20,2025-03-14 20:31,충청남도 서천군 마서면,진화완료,초기대응,36.0619932064234,126.706717010451,2025-03-14,12.1,11.5,32.0,0.0,31,,,
2025-03-14 17:51,2025-03-14 18:25,경기도 안산시 상록구,진화완료,초기대응,37.3009718344206,126.846482563885,2025-03-14,8.1,10.5,340.0,0.0,38,,,
2025-03-14 16:42,2025-03-14 18:18,경상남도 창원시 마산합포구,진화완료,초기대응,35.1969642422117,128.567859050223,2025-03-14,10.2,16.1,52.0,0.0,38,,,
2025-03-14 14:57,2025-03-14 15:56,충청남도 태안군 안면읍,진화완료,초기대응,36.5205361060368,126.344511519837,2025-03-14,8.4,22.1,14.0,0.5,49,,,
2025-03-14 14:33,2025-03-14 15:13,충청남도 아산시 음봉면,진화완료,초기대응,36.8497784176227,127.012244009139,2025-03-14,10.3,4.4,3.0,0.0,45,,,
2025-03-14 14:30,2025-03-14 17:34,부산광역시 강서구 성북동,진화완료,초기대응,35.0534010697009,128.813853440238,2025-03-14,10.2,16.1,52.0,0.0,40,,,
2025-03-14 14:26,2025-03-14 16:07,전라남도 보성군 보성읍,진화완료,초기대응,34.7685076173872,127.080131495248,2025-03-14,10.6,10.7,54.0,0.3,48,,,
