발생일시,진화일시,주소,진행상태,대응단계
2025-03-12 12:05,2025-03-12 12:38,경상남도 합천군 봉산면,진화완료,초기대응
2025-03-12 11:37,2025-03-12 12:42,경상북도 청송군 안덕면,진화완료,초기대응
2025-03-12 09:52,2025-03-12 10:35,광주광역시 광산구 임곡동,진화완료,초기대응
2025-03-11 15:45,2025-03-11 16:25,충청남도 공주시 우성면,진화완료,초기대응
2025-03-11 15:45,2025-03-11 16:13,충청남도 아산시 인주면,진화완료,초기대응
2025-03-11 15:03,2025-03-12 17:50,경상남도 양산시 상북면,진화완료,초기대응
2025-03-11 11:34,2025-03-11 12:40,강원특별자치도 삼척시 평전동,진화완료,초기대응
2025-03-11 11:00,2025-03-11 11:34,전북특별자치도 익산시 웅포면,진화완료,초기대응
2025-03-10 14:54,2025-03-10 15:29,충청남도 홍성군 홍성읍,진화완료,초기대응
2025-03-10 13:59,2025-03-10 14:44,충청남도 공주시 우성면,진화완료,초기대응
2025-03-10 10:39,2025-03-10 11:20,강원특별자치도 화천군 사내면,진화완료,초기대응
2025-03-09 16:13,2025-03-09 17:20,충청북도 옥천군 청성면,진화완료,초기대응
2025-03-09 15:02,2025-03-09 16:40,강원특별자치도 춘천시 남면,진화완료,초기대응
2025-03-09 11:31,2025-03-09 12:25,경상남도 거제시 고현동,진화완료,초기대응
2025-03-08 18:09,2025-03-08 18:43,경기도 성남시 수정구,진화완료,초기대응
2025-03-08 15:50,2025-03-08 16:22,충청남도 공주시 우성면,진화완료,초기대응
2025-03-08 14:40,2025-03-08 15:22,충청남도 예산군 대술면,진화완료,초기대응
2025-03-08 14:25,2025-03-08 14:46,경기도 용인시 처인구,진화완료,초기대응
2025-03-08 05:07,2025-03-08 05:36,경기도 고양시 덕양구,진화완료,초기대응
2025-03-01 14:15,2025-03-01 15:21,경기도 양평군 강하면,진화완료,초기대응
2025-03-01 13:52,2025-03-01 15:21,경기도 양평군 강상면,진화완료,초기대응
2025-03-01 10:16,2025-03-01 11:02,경기도 고양시 일산동구,진화완료,초기대응
2025-02-28 15:59,2025-02-28 16:35,경기도 안성시 삼죽면,진화완료,초기대응
2025-02-28 14:53,2025-02-28 15:42,강원특별자치도 횡성군 공근면,진화완료,초기대응
2025-02-28 14:26,2025-02-28 15:30,충청남도 당진시 정미면,진화완료,초기대응
2025-02-28 13:47,2025-02-28 15:00,경상북도 봉화군 명호면,진화완료,초기대응
2025-02-27 17:04,2025-02-27 17:34,부산광역시 금정구 금사동,진화완료,초기대응
2025-02-27 15:43,2025-02-27 17:15,충청북도 영동군 추풍령면,진화완료,초기대응
2025-02-27 15:32,2025-02-27 16:49,전라남도 무안군 일로읍,진화완료,초기대응
2025-02-27 15:16,2025-02-27 17:04,강원특별자치도 강릉시 성산면,진화완료,초기대응
2025-02-27 14:17,2025-02-27 15:04,경기도 양평군 청운면,진화완료,초기대응
2025-02-27 13:58,2025-02-27 15:01,경기도 안성시 원곡면,진화완료,초기대응
2025-02-27 13:16,2025-02-27 16:00,경상북도 울진군 울진읍,진화완료,초기대응
2025-02-27 11:38,2025-02-27 12:29,경기도 의정부시 녹양동,진화완료,초기대응
2025-02-26 16:24,2025-02-26 18:15,충청북도 진천군 덕산읍,진화완료,초기대응
2025-02-26 16:12,2025-02-26 18:03,경기도 광주시 회덕동,진화완료,초기대응
2025-02-26 15:26,2025-02-26 16:09,인천광역시 중구 남북동,진화완료,초기대응
2025-02-26 15:23,2025-02-26 16:50,전라남도 고흥군 금산면,진화완료,초기대응
2025-02-26 15:13,2025-02-26 17:57,강원특별자치도 철원군 철원읍,진화완료,초기대응
2025-02-26 13:45,2025-02-26 14:22,강원특별자치도 양양군 서면,진화완료,초기대응
2025-02-26 13:10,2025-02-26 13:30,경기도 포천시 선단동,진화완료,초기대응
2025-02-25 20:25,2025-02-25 22:48,경상북도 고령군 쌍림면,진화완료,초기대응
2025-02-25 16:47,2025-02-25 17:30,경상남도 고성군 영오면,진화완료,초기대응
2025-02-25 14:16,2025-02-25 14:40,대전광역시 유성구 대정동,진화완료,초기대응
2025-02-25 14:15,2025-02-25 14:50,경기도 안성시 삼죽면,진화완료,초기대응
2025-02-25 10:38,2025-02-25 20:26,경기도 화성시 남양읍,진화완료,초기대응
2025-02-24 21:03,2025-02-24 21:51,경기도 연천군 청산면,진화완료,초기대응
2025-02-24 16:15,2025-02-24 17:53,충청남도 아산시 음봉면,진화완료,초기대응
2025-02-24 14:00,2025-02-24 15:09,경상북도 안동시 서후면,진화완료,초기대응
2025-02-24 12:56,2025-02-24 17:05,경상북도 청송군 현서면,진화완료,초기대응
2025-02-24 11:52,2025-02-24 13:33,경상북도 경주시 양남면,진화완료,초기대응
2025-02-23 18:29,2025-02-23 23:23,부산광역시 부산진구 부암동,진화완료,초기대응
2025-02-23 17:10,2025-02-23 19:05,부산광역시 부산진구 초읍동,진화완료,초기대응
2025-02-23 14:55,2025-02-23 15:50,경기도 연천군 중면,진화완료,초기대응
2025-02-23 14:07,2025-02-23 14:43,경기도 가평군 가평읍,진화완료,초기대응
2025-02-23 13:40,2025-02-23 15:00,경기도 용인시 처인구,진화완료,초기대응
2025-02-23 12:59,2025-02-23 14:08,인천광역시 강화군 화도면,진화완료,초기대응
2025-02-22 20:04,2025-02-22 20:30,경기도 시흥시 도창동,진화완료,초기대응
2025-02-22 15:33,2025-02-22 18:10,경기도 포천시 소흘읍,진화완료,초기대응
2025-02-22 15:14,2025-02-22 16:05,강원특별자치도 춘천시 신북읍,진화완료,초기대응
2025-02-22 14:54,2025-02-22 16:50,대전광역시 동구 신상동,진화완료,초기대응
2025-02-21 20:49,2025-02-21 22:28,울산광역시 울주군 삼동면,진화완료,초기대응
2025-02-21 20:46,2025-02-21 21:53,경기도 양평군 단월면,진화완료,초기대응
2025-02-21 19:07,2025-02-22 13:00,강원특별자치도 정선군 여량면,진화완료,초기대응
2025-02-21 15:07,2025-02-21 16:01,강원특별자치도 강릉시 구정면,진화완료,초기대응
